Barrio,Precio Promedio x m2,Metros Cuadrados Promedio,Cantidad de Departamentos
Belgrano,2473.39,39.8,74
Belgrano Barrancas,2420.05,37.5,2
Belgrano C,2291.94,43.4,10
Belgrano R,2560.22,39.56,16
Botánico,2515.97,38.7,10
Caballito,2129.85,42.47,210
Coghlan,2305.73,42.73,12
Colegiales,2466.77,39.56,42
Las Cañitas,8528.02,31.22,9
No especificado,2380.3,42.18,51
Núñez,2339.15,43.12,49
Palermo,2480.55,39.7,100
Palermo Chico,2759.96,37.5,2
Palermo Hollywood,2860.06,35.0,6
Palermo Nuevo,2571.43,42.0,1
Palermo Soho,2458.7,38.45,11
Palermo Viejo,2316.92,42.0,3
Villa Urquiza,2407.23,42.39,84
