Título,Precio (US$),Dirección,Barrio,Ciudad,Link,Ambientes,Baños,Metros Cuadrados,Antigüedad,Metros Cuadrados Limpios,$ x m2,Promedio $ x m2,Diferencia con Promedio
"Departamento En Venta - 1 Dormitorio 1 Baño - 38,86mts2 - Palermo Soho",64500.0,José A. Cabrera E/ Jerónimo Salguero Y Bulnes,Palermo Soho,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1981051780-departamento-en-venta-1-dormitorio-1-bano-3886mts2-palermo-soho-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,29 m² cubiertos,No especificado,29.0,2224.14,2458.7045454545455,-234.56454545454562
Departamento En  Las Cañitas. 1 Dormitorio.,89000.0,Ortega Y Gasset 1600,Las Cañitas,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1430026891-departamento-en-las-canitas-1-dormitorio-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,38 m² cubiertos,No especificado,38.0,2342.11,8528.021111111111,-6185.911111111111
Departamento En Venta - 2 Dormitorios 1 Baño - 44 Mts2 - Palermo,70000.0,Juncal E/ Billinghurst Y Sánchez De Bustamante,Palermo,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1964092606-departamento-en-venta-2-dormitorios-1-bano-44-mts2-palermo-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,3 ambs.,1 baño,42 m² cubiertos,No especificado,42.0,1666.67,2480.5547959183673,-813.8847959183672
Departamento En Venta  2 Amb En  Belgrano Apto Credito!!,105000.0,Departamento En Venta 2 Amb En  Belgrano Cramer 1660 .apto Credito !!!,Belgrano,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1942597128-departamento-en-venta-2-amb-en-belgrano-apto-credito-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,44 m² cubiertos,No especificado,44.0,2386.36,2473.3914864864864,-87.0314864864863
Departamento En  Venta 2 Ambientes En Villa Urquiza,115000.0,Combatientes De Malvinas  Al 3000,Villa Urquiza,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1462936831-departamento-en-venta-2-ambientes-en-villa-urquiza-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,40 m² cubiertos,No especificado,40.0,2875.0,2407.2339285714284,467.76607142857165
Venta - Depto - Dos Ambientes - Luminoso - Vista Abierta - Balcon - Contra Frente - Caballito,98000.0,Pujol 1100,Caballito,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1963242960-venta-depto-dos-ambientes-luminoso-vista-abierta-balcon-contra-frente-caballito-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,42 m² cubiertos,No especificado,42.0,2333.33,2129.847549019608,203.48245098039206
Departamento En Venta - 1 Dormitorio 1 Baño - 41mts2 - Villa Urquiza,114900.0,Blanco Encalada E/ Andonaegui Y Bucarelli,Villa Urquiza,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1970593646-departamento-en-venta-1-dormitorio-1-bano-41mts2-villa-urquiza-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,41 m² cubiertos,No especificado,41.0,2802.44,2407.2339285714284,395.2060714285717
"Venta, 2 Ambientes, Piso Alto, Caballito",58000.0,Av. Dr. Honorio Pueyrredón 1000,Caballito,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1967721408-venta-2-ambientes-piso-alto-caballito-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,30 m² cubiertos,No especificado,30.0,1933.33,2129.847549019608,-196.51754901960794
Venta Departamento De 3  Ambientes Reciclado A Nuevo En  Coghlan,96000.0,Manuel Ugarte Al 3800,Coghlan,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1469390575-venta-departamento-de-3-ambientes-reciclado-a-nuevo-en-coghlan-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,3 ambs.,1 baño,48 m² cubiertos,No especificado,48.0,2000.0,2305.7309090909093,-305.73090909090934
"Departamento  En Venta En Colegiales, Capital Federal, Buenos Aires",119900.0,Moldes 1100,Colegiales,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1954692352-departamento-en-venta-en-colegiales-capital-federal-buenos-aires-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,38 m² cubiertos,No especificado,38.0,3155.26,2466.768536585366,688.4914634146344
Departamento Dos Ambientes En Venta Palermo Buenos Aires,90000.0,Departamento DOS Ambientes EN Venta Palermo Buenos Aires,Palermo,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1930374824-departamento-dos-ambientes-en-venta-palermo-buenos-aires-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,45 m² cubiertos,No especificado,45.0,2000.0,2480.5547959183673,-480.5547959183673
Departamento En Venta - 1 Dormitorio 1 Baño - 61mts2 - Palermo,99000.0,Paraguay Y Armenia,Palermo,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1462568275-departamento-en-venta-1-dormitorio-1-bano-61mts2-palermo-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,32 m² cubiertos,No especificado,32.0,3093.75,2480.5547959183673,613.1952040816327
Departamento En Venta - 1 Dormitorio Y 1 Baño - 41mts2 - Palermo,100000.0,Guemes E/ Pasaje Virasoro Y Armenia,Botánico,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1463198129-departamento-en-venta-1-dormitorio-y-1-bano-41mts2-palermo-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,41 m² cubiertos,No especificado,41.0,2439.02,2515.971,-76.95100000000002
Departamento De 2 Ambientes En Belgrano Con 2 Patios,82000.0,Virrey Avilés 2800,Belgrano,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1967194720-departamento-de-2-ambientes-en-belgrano-con-2-patios-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,39 m² cubiertos,No especificado,39.0,2102.56,2473.3914864864864,-370.8314864864865
Venta 2 Ambientes En Palermo. Ideal Inversión O Primera Vivienda. Apto Profesional.,68000.0,Godoy Cruz Al 2700,Palermo,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1981322902-venta-2-ambientes-en-palermo-ideal-inversion-o-primera-vivienda-apto-profesional-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,27 m² cubiertos,No especificado,27.0,2518.52,2480.5547959183673,37.96520408163269
Departamento En Venta - 2 Dormitorios 1 Baño - 58mts2 - Villa Urquiza,110000.0,Ávalos E/ Arismendi Y Del Temple,Villa Urquiza,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1964090818-departamento-en-venta-2-dormitorios-1-bano-58mts2-villa-urquiza-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,3 ambs.,1 baño,55 m² cubiertos,No especificado,55.0,2000.0,2407.2339285714284,-407.23392857142835
Departamento En Venta - 1 Dormitorio 1 Baño - 47mts2 - Caballito,89000.0,Avenida Díaz Vélez E/ Otamendi Y Eduardo Acevedo,Caballito,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1985973422-departamento-en-venta-1-dormitorio-1-bano-47mts2-caballito-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,40 m² cubiertos,No especificado,40.0,2225.0,2129.847549019608,95.15245098039213
Venta Apto Crédito Departamento 2 Ambientes Con Patio Y Lavadero Belgrano,83900.0,José Hernandez 2500,Belgrano,Capital Federal,https://departamento.mercadolibre.com.ar/MLA-1464108927-venta-apto-credito-departamento-2-ambientes-con-patio-y-lavadero-belgrano-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab,2 ambs.,1 baño,40 m² cubiertos,No especificado,40.0,2097.5,2473.3914864864864,-375.89148648648643
